GrLivArea,TotalBsmtSF,LotArea,BedroomAbvGr,FullBath,TotRmsAbvGrd,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Neighborhood,GarageCars,GarageArea,PoolArea,Fireplaces,BldgType,HouseStyle,SalePrice
1186,372.0,14346,6,2,7,7,6,2001,2010,NWAmes,0.0,0.0,0,1,1Fam,2Story,206137
1355,,9054,5,2,6,4,4,1974,1985,NridgHt,3.0,729.0,0,3,TwnhsE,1Story,248878
2209,920.0,9275,6,3,8,8,4,1932,1942,Mitchel,3.0,563.0,0,1,1Fam,2Story,274033
500,880.0,14400,2,1,6,5,4,1961,1975,OldTown,2.0,432.0,0,2,1Fam,SFoyer,159266
2138,965.0,11516,5,3,9,7,2,1987,2002,OldTown,3.0,554.0,0,2,TwnhsE,1Story,272666
1669,1079.0,11308,6,2,7,10,4,1922,1938,Edwards,1.0,214.0,0,0,2fmCon,1Story,258201
896,954.0,6427,5,2,8,3,1,1914,1939,Mitchel,3.0,633.0,0,3,1Fam,1Story,162692
962,620.0,12036,5,1,9,7,6,1926,1927,Mitchel,1.0,138.0,0,2,1Fam,1.5Fin,180616
2338,1145.0,7212,1,1,4,8,1,1974,1991,Sawyer,2.0,363.0,0,1,1Fam,SFoyer,288800
1027,415.0,6597,1,3,2,5,6,1963,1974,Mitchel,0.0,0.0,0,3,Duplex,1.5Fin,158458
923,384.0,8959,1,3,2,4,1,1980,1998,NWAmes,1.0,132.0,0,3,1Fam,1Story,152505
2068,1221.0,8242,6,1,9,8,6,1950,1975,Sawyer,0.0,0.0,0,1,TwnhsE,1.5Fin,263990
1669,,9335,4,3,8,8,8,1952,1974,Mitchel,0.0,,0,3,Duplex,2Story,247689
1031,982.0,5677,2,2,3,3,2,1977,1994,CollgCr,0.0,0.0,0,3,1Fam,1.5Fin,176066
1608,581.0,12876,6,2,8,6,2,1990,2010,Edwards,0.0,,0,2,1Fam,SLvl,220568
987,787.0,13383,1,1,2,5,4,1981,1997,Edwards,1.0,240.0,0,1,1Fam,1Story,160502
2050,921.0,4157,5,3,9,2,3,1991,2010,CollgCr,2.0,472.0,0,2,TwnhsE,1Story,228881
2030,521.0,12935,6,2,8,8,4,1950,1955,Sawyer,3.0,406.0,0,1,1Fam,SFoyer,263395
1766,778.0,7568,5,1,6,6,7,1946,1970,OldTown,1.0,203.0,0,0,TwnhsE,2Story,194932
1680,1195.0,12570,5,3,9,2,1,2010,2010,CollgCr,2.0,413.0,0,3,1Fam,SFoyer,233737
2380,1428.0,9794,5,2,9,5,6,1903,1905,Gilbert,3.0,,0,3,1Fam,1.5Fin,292044
